Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Population density (people per sq. km of land area),EN.POP.DNST,Russian Federation,RUS,..,8.949015709,8.762785258,8.78187755,8.798804045,8.813796348,8.823220738,8.822067892,8.817695994,8.797354989,8.759261446,..
Population density (people per sq. km of land area),EN.POP.DNST,Rwanda,RWA,296.7151196,328.7389137,449.9939197,460.8208756,471.9480746,483.6197406,495.7575598,507.9776246,520.2686664,532.8886096,545.6784759,..
Population density (people per sq. km of land area),EN.POP.DNST,Samoa,WSM,59.42968198,65.0204947,70.64982332,71.29222615,71.93321555,72.63038869,74.68705036,75.43201439,76.22482014,77.31258993,78.69208633,..
Population density (people per sq. km of land area),EN.POP.DNST,San Marino,SMR,385.5333333,447.05,554.75,556.4833333,559.5,563.9,567.6,569.2666667,569.6333333,566.7833333,562.4166667,..
Population density (people per sq. km of land area),EN.POP.DNST,Sao Tome and Principe,STP,125.3572917,149.7020833,201.8302083,205.7260417,209.5041667,213.1583333,216.7041667,220.15,223.540625,227.7510417,232.403125,..
Population density (people per sq. km of land area),EN.POP.DNST,Saudi Arabia,SAU,7.445149301,10.02348711,14.64513395,14.94427755,15.23468407,15.54469249,15.90607111,16.28985249,16.66629235,16.7452549,16.72352572,..
Population density (people per sq. km of land area),EN.POP.DNST,Senegal,SEN,39.1419571,50.40402535,70.6153119,72.56172025,74.56594297,76.61848024,78.72951228,80.89601101,83.10798837,85.36913728,87.6576118,..
Population density (people per sq. km of land area),EN.POP.DNST,Serbia,SRB,..,..,81.91324034,81.5295678,81.12717814,80.70343014,80.27507432,79.8376858,79.41041619,82.04454751,81.27394458,..
Population density (people per sq. km of land area),EN.POP.DNST,Seychelles,SYC,151.1021739,176.3717391,195.5413043,198.6065217,203.0847826,205.8195652,208.3543478,210.3521739,212.2282609,214.0478261,215.7782609,..
Population density (people per sq. km of land area),EN.POP.DNST,Sierra Leone,SLE,59.92502078,63.50882516,96.49292048,98.92889997,101.3407177,103.8225686,106.3669299,108.9121779,111.482793,114.0755057,116.661693,..
Population density (people per sq. km of land area),EN.POP.DNST,Singapore,SGP,4547.958209,6011.771642,7636.721358,7714.702398,7806.77292,7908.720733,7882.377809,7897.305322,7965.878492,7918.951253,7595.495822,..
Population density (people per sq. km of land area),EN.POP.DNST,Sint Maarten (Dutch part),SXM,..,..,1076.676471,1108.382353,1141.911765,1175.558824,1193.352941,1202.794118,1223.764706,1244.411765,1260.176471,..
Population density (people per sq. km of land area),EN.POP.DNST,Slovak Republic,SVK,..,112.0316008,112.5726377,112.7006864,112.8031488,112.9533694,113.1287854,113.2855865,113.4389975,113.5363353,113.2954867,..
Population density (people per sq. km of land area),EN.POP.DNST,Slovenia,SVN,..,98.75496524,102.2816783,102.3823237,102.4461092,102.5241783,102.6108719,102.9922926,103.7119346,104.4088814,104.6899644,..
Population density (people per sq. km of land area),EN.POP.DNST,Solomon Islands,SLB,11.58167203,15.36184352,20.80618078,21.34244373,21.88853162,22.44022865,22.99514112,23.55301894,24.11550554,24.69421222,25.28942479,..
Population density (people per sq. km of land area),EN.POP.DNST,Somalia,SOM,11.15678261,13.90229381,20.48727165,21.21534575,21.94010584,22.78325469,23.6940431,24.56577613,25.47470271,26.36053177,27.20308126,..
Population density (people per sq. km of land area),EN.POP.DNST,South Africa,ZAF,32.87272173,38.59010131,44.41023832,45.11582076,46.0613013,46.51120197,46.6916791,47.26742039,47.88354945,48.47284785,48.95947951,..
